CodigodoCliente	Idade	RendimentoTotal	Salario	LimitedeCreditoImediato	LimitedoChequeEspecial
12	72	 4300 	 4300 	 2000 	 1000 
44	75	 4400 	 4400 	 3000 	 1000 
30	66	 4800 	 4800 	 440 	 1500 
2	35	 5000 	 5000 	 1000 	 1000 
35	69	 5000 	 5000 	 2000 	 2500 
39	47	 5000 	 5000 	 2000 	 1700 
42	68	 5000 	 5000 	 380 	 600 
47	44	 5800 	 5800 	 500 	 800 
5	54	 6000 	 6000 	 1790 	 3600 
19	56	 6000 	 6000 	 2000 	 2500 
26	32	 6000 	 6000 	 2000 	 3000 
3	39	 6320 	 6320 	 1550 	 1640 
21	45	 6400 	 6400 	 2000 	 2500 
16	67	 6500 	 6500 	 3000 	 4000 
1	81	 6800 	 6800 	 380 	 2000 
14	70	 6900 	 6900 	 3000 	 4140 
45	31	 6927 	 6927 	 3000 	 4000 
22	70	 7000 	 5500 	 340 	 3000 
10	72	 7825 	 7825 	 3000 	 3000 
11	73	 7890 	 7000 	 3000 	 5000 
48	39	 8000 	 6500 	 2000 	 3000 
9	30	 8000 	 8000 	 3000 	 3350 
20	94	 8000 	 8000 	 2000 	 3000 
46	80	 8100 	 8100 	 3500 	 1000 
31	63	 8700 	 5700 	 3000 	 9900 
29	62	 8784 	 8784 	 1170 	 2350 
18	65	 8800 	 7300 	 2000 	 1780 
33	47	 10000 	 10000 	 3000 	 10000 
37	69	 10000 	 10000 	 3000 	 5000 
41	82	 10000 	 10000 	 3000 	 10000 
8	68	 10527 	 4027 	 3000 	 5000 
4	70	 10736 	 5214 	 400 	 500 
38	61	 11000 	 7500 	 2000 	 4930 
17	35	 12000 	 9000 	 3000 	 6000 
13	46	 12000 	 12000 	 2000 	 3500 
27	75	 12200 	 9200 	 3000 	 10000 
36	45	 12913 	 12913 	 1970 	 5320 
15	66	 13348 	 13348 	 2990 	 10000 
43	70	 13500 	 13500 	 3100 	 13000 
24	74	 14584 	 10084 	 3000 	 2500 
6	64	 15000 	 15000 	 3000 	 10000 
34	67	 15400 	 10400 	 2000 	 8000 
25	62	 17800 	 14800 	 3000 	 6000 
28	68	 21950 	 21000 	 3000 	 10000 
40	67	 30000 	 30000 	 900 	 20000 
7	69	 37000 	 22000 	 1000 	 4000 
32	66	 40000 	 40000 	 3000 	 18185 
23	57	 81000 	 54500 	 2000 	 35000 
