Idade	RendimentoTotal	Salario	LimitedeCreditoImediato	LimitedoChequeEspecial	Escolaridade
70	10736	5214	400	500	Fundamental_Medio
68	5000	5000	380	600	Fundamental_Medio
44	5800	5800	500	800	Fundamental_Medio
72	4300	4300	2000	1000	Fundamental_Medio
75	4400	4400	3000	1000	Fundamental_Medio
35	5000	5000	1000	1000	Fundamental_Medio
80	8100	8100	3500	1000	Fundamental_Medio
66	4800	4800	440	1500	Fundamental_Medio
39	6320	6320	1550	1640	Fundamental_Medio
47	5000	5000	2000	1700	Fundamental_Medio
65	8800	7300	2000	1780	Fundamental_Medio
81	6800	6800	380	2000	Fundamental_Medio
62	8784	8784	1170	2350	Fundamental_Medio
69	5000	5000	2000	2500	Fundamental_Medio
56	6000	6000	2000	2500	Superior_Pos
45	6400	6400	2000	2500	Fundamental_Medio
74	14584	10084	3000	2500	Fundamental_Medio
32	6000	6000	2000	3000	Fundamental_Medio
70	7000	5500	340	3000	Fundamental_Medio
72	7825	7825	3000	3000	Fundamental_Medio
39	8000	6500	2000	3000	Fundamental_Medio
94	8000	8000	2000	3000	Superior_Pos
30	8000	8000	3000	3350	Fundamental_Medio
46	12000	12000	2000	3500	Fundamental_Medio
54	6000	6000	1790	3600	Superior_Pos
67	6500	6500	3000	4000	Fundamental_Medio
31	6927	6927	3000	4000	Fundamental_Medio
69	37000	22000	1000	4000	Fundamental_Medio
70	6900	6900	3000	4140	Fundamental_Medio
61	11000	7500	2000	4930	Superior_Pos
73	7890	7000	3000	5000	Fundamental_Medio
69	10000	10000	3000	5000	Fundamental_Medio
68	10527	4027	3000	5000	Fundamental_Medio
45	12913	12913	1970	5320	Superior_Pos
35	12000	9000	3000	6000	Superior_Pos
62	17800	14800	3000	6000	Superior_Pos
67	15400	10400	2000	8000	Superior_Pos
63	8700	5700	3000	9900	Fundamental_Medio
47	10000	10000	3000	10000	Superior_Pos
82	10000	10000	3000	10000	Superior_Pos
75	12200	9200	3000	10000	Superior_Pos
66	13348	13348	2990	10000	Superior_Pos
64	15000	15000	3000	10000	Superior_Pos
68	21950	21000	3000	10000	Superior_Pos
70	13500	13500	3100	13000	Superior_Pos
66	40000	40000	3000	18185	Superior_Pos
67	30000	30000	900	20000	Superior_Pos
57	81000	54500	2000	35000	Superior_Pos
