Id_Imovel	Idade_imovel	Distancia_metro_Km	Comercios_proximos	Mil_reais_m2
1	32	1.083595131	10	7.58
2	19.5	1.396946429	9	8.44
3	13.3	1.544788954	5	9.46
4	13.3	1.544788954	5	10.96
5	5	1.456009608	5	8.62
6	7.1	1.874980478	3	6.42
7	34.5	1.570122315	7	8.06
8	20.3	1.381344189	6	9.34
9	31.7	2.101860788	1	3.76
10	17.9	1.826514149	3	4.42
11	34.8	1.464990898	1	8.28
12	6.3	1.099122285	9	11.62
13	13	1.512454621	5	7.86
14	20.4	1.905974455	4	4.76
15	13.2	1.722621084	4	6.86
16	35.7	1.552154369	2	10.1
17	0	1.385878854	6	14.02
18	17.7	1.429844572	1	7.48
19	16.9	1.441577889	8	8.46
20	1.5	0.769043403	7	9.54
21	4.5	1.886038644	3	5.86
22	10.5	1.374085838	7	10.32
23	14.7	1.760440053	1	4.92
24	10.1	1.374085838	7	9.58
25	39.6	1.506669688	4	7.76
26	29.3	1.782339552	2	5.4
27	3.1	1.45178403	5	11.24
28	10.4	1.371693833	5	6.72
29	19.2	1.542824569	4	9.4
30	7.1	1.491242274	5	11.42
31	25.9	2.053431825	0	4.42
32	29.6	1.621434888	7	5
33	37.9	1.51063438	1	6.84
34	16.5	1.410158607	6	9.86
35	15.4	1.299174528	7	11.02
36	13.9	2.028425959	0	5.46
37	14.7	1.846451118	2	4.58
38	12	1.760440053	1	5.06
39	3.1	1.551628601	6	9.54
40	16.2	1.382800933	5	9.24
41	13.6	2.028581234	0	3.18
42	16.8	2.027657342	0	3.64
43	36.1	1.525591872	5	6.94
44	34.4	1.522436568	6	6.82
45	2.7	1.532087106	4	10.78
46	36.6	1.510757497	8	7.66
47	21.7	1.498023985	9	8.4
48	35.9	1.576787206	3	12.3
49	24.2	2.058033858	0	2.68
50	29.4	2.05292759	1	2.64
51	21.7	1.52232311	4	8.84
52	31.3	1.82310065	1	4.14
53	32.1	1.774120065	3	5.4
54	13.3	1.512454621	5	7.78
55	16.1	1.382800933	5	10.34
56	31.7	1.721738506	0	2.74
57	33.6	1.443632515	8	8.38
58	3.5	0.984185658	7	10.7
59	30.3	2.05292759	1	4.52
60	13.3	1.419330357	5	8.48
61	11	1.845971251	2	4.26
62	5.3	1.356407991	6	12.64
63	17.2	1.875075473	3	5.54
64	2.6	1.532087106	4	11
65	17.5	1.684355433	0	5.06
66	40.1	1.175573197	8	8.86
67	1	1.284758753	6	10.14
68	8.5	1.135057941	5	11.36
69	30.4	1.498161041	6	7.24
70	12.5	1.544788954	5	8.4
71	6.6	1.099122285	9	11.8
72	35.5	1.576787206	3	8.16
73	32.5	1.476361187	8	7.26
