Idade	RendimentoTotal	Salario	LimitedeCreditoImediato	LimitedoChequeEspecial
72	4300	4300	2000	1000
75	4400	4400	3000	1000
66	4800	4800	440	1500
35	5000	5000	1000	1000
69	5000	5000	2000	2500
47	5000	5000	2000	1700
68	5000	5000	380	600
44	5800	5800	500	800
54	6000	6000	1790	3600
56	6000	6000	2000	2500
32	6000	6000	2000	3000
39	6320	6320	1550	1640
45	6400	6400	2000	2500
67	6500	6500	3000	4000
81	6800	6800	380	2000
70	6900	6900	3000	4140
31	6927	6927	3000	4000
70	7000	5500	340	3000
72	7825	7825	3000	3000
73	7890	7000	3000	5000
39	8000	6500	2000	3000
30	8000	8000	3000	3350
94	8000	8000	2000	3000
80	8100	8100	3500	1000
63	8700	5700	3000	9900
62	8784	8784	1170	2350
65	8800	7300	2000	1780
47	10000	10000	3000	10000
69	10000	10000	3000	5000
82	10000	10000	3000	10000
68	10527	4027	3000	5000
70	10736	5214	400	500
61	11000	7500	2000	4930
35	12000	9000	3000	6000
46	12000	12000	2000	3500
75	12200	9200	3000	10000
45	12913	12913	1970	5320
66	13348	13348	2990	10000
70	13500	13500	3100	13000
74	14584	10084	3000	2500
64	15000	15000	3000	10000
67	15400	10400	2000	8000
62	17800	14800	3000	6000
68	21950	21000	3000	10000
67	30000	30000	900	20000
69	37000	22000	1000	4000
66	40000	40000	3000	18185
57	81000	54500	2000	35000
