Pais	carne_vermelha	 carne_branca	 ovos	 leite	 peixes	 cereais	 carboidratos	 graos	 fruta_vegetais
Albania	10	1	0.5	8.9	0.2	42.3	0.6	6	2
Austria	9	14	4.3	19.9	2.1	28	3.6	1	4
Belgium	14	9	4.1	17.5	4.5	27	5.7	2	4
Bulgaria	8	6	1.6	8.3	1.2	57	1.1	4	4
Czechoslovakia	10	11	2.8	12.5	2	34	5	1	4
Denmark	11	11	3.7	25	9.9	22	4.8	1	2
EGermany	8	12	3.7	11.1	5.4	25	6.5	1	4
Finland	10	5	2.7	33.7	5.8	26	5.1	1	1
France	18	10	3.3	19.5	5.7	28	4.8	2	7
Greece	10	3	2.8	17.6	5.9	42	2.2	8	7
Hungary	5	12	2.9	9.7	0.3	40	4	5	4
Ireland	14	10	4.7	25.8	2.2	24	6.2	2	3
Italy	9	5	2.9	13.7	3.4	37	2.1	4	7
Netherlands	10	14	3.6	23.4	2.5	22	4.2	2	4
Norway	9	5	2.7	23.3	9.7	23	4.6	2	3
Poland	7	10	2.7	19.3	3	36	5.9	2	7
Portugal	6	4	1.1	4.9	14.2	27	5.9	5	8
Romania	6	6	1.5	11.1	1	50	3.1	5	3
Spain	7	3	3.1	8.6	7	29	5.7	6	7
Sweden	10	8	3.5	24.7	7.5	20	3.7	1	2
Switzerland	13	10	3.1	23.8	2.3	26	2.8	2	5
UK	17	6	4.7	20.6	4.3	24	4.7	3	3
USSR	9	5	2.1	16.6	3	44	6.4	3	3
WGermany	11	13	4.1	18.8	3.4	19	5.2	2	4
Yugoslavia	4	5	1.2	9.5	0.6	56	3	6	3
