CLIENTE_NUMBER	FX_IDADE	CEP_GRUPO_RISCO	FX_RENDA	INDICADOR_RESTRITIVO	QTDE_CONSULTAS_CREDITO	RESPOSTA
1	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	3 ou mais	0
2	(5) >=46	(3) medio	(4) De 2501 a 5000	0	0	0
3	(5) >=46	(2) baixo	(6) >7000	0	0	0
4	(2) 25 a 34	(5) altissimo	(3) De 1500 a 2500	0	1	0
5	(2) 25 a 34	(4) alto	(2) <1500	0	0	0
6	(4) 40 a 45	(3) medio	(4) De 2501 a 5000	0	0	0
7	(3) 35 a 39	(3) medio	(3) De 1500 a 2500	0	1	0
8	(2) 25 a 34	(3) medio	(4) De 2501 a 5000	0	3 ou mais	0
9	(4) 40 a 45	(2) baixo	(5) 5001 a 7000	0	3 ou mais	0
10	(5) >=46	(2) baixo	(4) De 2501 a 5000	0	3 ou mais	0
11	(3) 35 a 39	(3) medio	(3) De 1500 a 2500	0	0	0
12	(5) >=46	(5) altissimo	(2) <1500	0	0	0
13	(2) 25 a 34	(2) baixo	(4) De 2501 a 5000	0	1	0
14	(5) >=46	(1) baissiximo	(5) 5001 a 7000	0	0	0
15	(2) 25 a 34	(4) alto	(3) De 1500 a 2500	0	0	0
16	(4) 40 a 45	(2) baixo	(3) De 1500 a 2500	0	1	0
17	(5) >=46	(2) baixo	(6) >7000	1	1	0
18	(2) 25 a 34	(4) alto	(3) De 1500 a 2500	0	0	0
19	(1) <=24	(4) alto	(3) De 1500 a 2500	0	0	0
20	(5) >=46	(2) baixo	(5) 5001 a 7000	0	2	0
21	sem informacao	(4) alto	(5) 5001 a 7000	0	2	0
22	(5) >=46	(2) baixo	(5) 5001 a 7000	0	3 ou mais	0
23	(3) 35 a 39	(5) altissimo	(2) <1500	0	1	0
24	(2) 25 a 34	(2) baixo	(4) De 2501 a 5000	0	2	0
25	(5) >=46	(3) medio	(3) De 1500 a 2500	0	1	0
26	(3) 35 a 39	(5) altissimo	(3) De 1500 a 2500	0	2	0
27	sem informacao	(5) altissimo	(1) nao informado	0	0	0
28	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	0	1
29	(5) >=46	(2) baixo	(3) De 1500 a 2500	0	0	0
30	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	0	0
31	(2) 25 a 34	(5) altissimo	(3) De 1500 a 2500	0	0	0
32	(5) >=46	(5) altissimo	(4) De 2501 a 5000	0	1	0
33	(4) 40 a 45	(3) medio	(4) De 2501 a 5000	0	2	0
34	(5) >=46	(2) baixo	(3) De 1500 a 2500	0	1	0
35	(2) 25 a 34	(3) medio	(3) De 1500 a 2500	0	3 ou mais	0
36	(4) 40 a 45	(4) alto	(3) De 1500 a 2500	0	2	0
37	(5) >=46	(2) baixo	(4) De 2501 a 5000	0	0	0
38	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	0	0
39	(5) >=46	(2) baixo	(5) 5001 a 7000	0	0	0
40	(5) >=46	(1) baissiximo	(6) >7000	0	0	1
41	(5) >=46	(3) medio	(4) De 2501 a 5000	0	1	0
42	(5) >=46	(2) baixo	(4) De 2501 a 5000	0	0	0
43	(5) >=46	(2) baixo	(5) 5001 a 7000	0	2	0
44	(2) 25 a 34	(2) baixo	(4) De 2501 a 5000	0	2	0
45	(2) 25 a 34	(2) baixo	(3) De 1500 a 2500	0	1	0
46	(3) 35 a 39	(2) baixo	(3) De 1500 a 2500	0	0	0
47	(5) >=46	(2) baixo	(5) 5001 a 7000	0	0	0
